
Mon Nov 15 21:17:13 UTC 2021
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 7568436   1076 5521676    0    0     0    11    8    4  2  1 97  0  0
 0  0      0 7563164   1076 5524660    0    0   228   305 6017 7452  2  2 96  0  0
 0  0      0 7562120   1076 5524692    0    0     0   111 5510 6588  2  2 96  0  0
 1  0      0 7562144   1076 5524708    0    0     0     0 5200 5781  2  2 97  0  0
 0  0      0 7563032   1076 5524900    0    0     0     4 6818 7843  4  2 94  0  0
 0  0      0 7556700   1076 5524928    0    0     0  3609 5462 6271  2  2 96  0  0
 0  0      0 7559868   1076 5524920    0    0     0  1859 5370 6109  2  2 97  0  0
 0  0      0 7558128   1076 5526392    0    0     0   300 5459 6576  2  2 96  0  0
 0  0      0 7553648   1076 5526388    0    0     0    75 19528 26718  4  4 91  0  0
 2  0      0 7563420   1076 5526404    0    0     0     0 6250 7448  2  2 96  0  0
 1  0      0 7563068   1076 5526400    0    0     0     0 5954 7094  3  2 95  0  0
 0  0      0 7560156   1076 5526440    0    0     0    58 5854 6786  2  2 95  0  0
 0  0      0 7559428   1076 5526436    0    0     0     0 5273 6147  2  1 97  0  0
 0  0      0 7558348   1076 5527932    0    0     0   297 5827 7232  2  2 96  0  0
 0  0      0 7553908   1076 5527948    0    0     0    67 5484 6299  2  2 96  0  0
 8  0      0 7554596   1076 5527952    0    0     0     0 5209 5864  2  1 97  0  0
 1  0      0 7560332   1076 5527960    0    0     0     0 6511 7641  2  2 96  0  0
 0  0      0 7558316   1076 5527940    0    0     0     0 5433 6329  2  2 95  0  1
 0  0      0 7560460   1076 5527952    0    0     0    11 5408 6284  2  2 96  0  0
 0  0      0 7557596   1076 5529516    0    0     0   310 5326 6415  2  2 96  0  1
 0  0      0 7556712   1076 5529520    0    0     0    28 5698 6664  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 7562912   1076 5529520    0    0     0     0 5971 7022  2  2 96  0  0
 1  0      0 7566732   1076 5529528    0    0     0     0 6224 7178  3  2 95  0  0
 1  0      0 7563088   1076 5529504    0    0     0     0 5837 6834  2  2 95  0  1
 0  0      0 7563644   1076 5529524    0    0     0    23 5345 6240  2  2 96  0  1
 2  0      0 7559320   1076 5531028    0    0     0   307 5496 6710  2  2 96  0  1
 0  0      0 7560392   1076 5531052    0    0     0     1 6018 6927  3  2 95  0  0
 1  0      0 7563444   1076 5531060    0    0     0    16 5752 6598  2  2 96  0  0
 2  0      0 7530524   1076 5544152    0    0     0   992 10581 12876  5  4 90  0  0
 0  0      0 7529932   1076 5544232    0    0     0     0 5494 6510  2  2 96  0  0
 0  0      0 7559028   1076 5531556    0    0     0   639 7383 8935  3  3 94  0  0
 0  0      0 7553972   1076 5533076    0    0     0   298 5436 6629  2  2 96  0  0
 0  0      0 7554500   1076 5533092    0    0     0     0 5712 6809  2  2 96  0  0
 3  0      0 7566088   1076 5533056    0    0     0   554 7494 8918  3  2 95  0  0
 1  0      0 7570200   1076 5533044    0    0     0     0 5976 6839  2  2 95  0  1
 0  0      0 7565472   1076 5533020    0    0     0   134 5767 6657  2  2 95  0  0
 0  0      0 7567120   1076 5533016    0    0     0     0 5353 6247  2  2 97  0  0
 0  0      0 7561960   1076 5534524    0    0     0   296 5475 6585  2  2 96  0  0
 0  0      0 7563956   1076 5534548    0    0     0     1 5947 6916  3  2 95  0  0
 9  0      0 7562688   1076 5534520    0    0     0    66 5459 6309  2  2 96  0  0
 0  0      0 7568908   1076 5534516    0    0     0    20 6298 7555  2  2 96  0  0
 0  0      0 7562036   1076 5534532    0    0     0     0 5498 6369  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7562756   1076 5534512    0    0     0     5 5009 5667  2  2 97  0  0
 0  0      0 7561628   1076 5536016    0    0     0   296 5320 6564  2  2 96  0  0
 0  0      0 7560600   1076 5536056    0    0     0     0 5811 6791  3  2 95  0  0
 8  0      0 7566732   1076 5536096    0    0     0    32 5708 6660  2  2 96  0  0
 1  0      0 7571048   1076 5536096    0    0     0     0 6275 7369  3  2 95  0  0
 0  0      0 7573668   1076 5536092    0    0     0     0 7143 8717  2  2 95  0  0
 0  0      0 7574948   1076 5536100    0    0     0     0 5616 6734  2  2 97  0  0
