
Mon Nov 15 21:21:24 UTC 2021
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1547456   1076 11069868    0    0     0    14    2    2 10  2 87  0  1
 1  0      0 1540056   1076 11071620    0    0     0   307 6556 6772 13  2 83  0  2
 1  0      0 1541576   1076 11071924    0    0     0     0 6258 5951 14  1 83  0  2
 0  0      0 1544208   1076 11072092    0    0     0   166 7154 7674 13  2 83  0  2
 1  0      0 1547336   1076 11072252    0    0     0  2884 7008 8488  5  2 92  0  1
 1  0      0 1547924   1076 11072508    0    0     0     0 6441 5844 18  1 80  0  1
 1  0      0 1542908   1076 11072596    0    0     0     0 6021 6149 11  1 87  0  1
 3  0      0 1545640   1076 11074304    0    0     0   298 7318 7833 14  2 82  0  2
 1  0      0 1567060   1076 11074580    0    0     0     0 6232 6032 14  1 83  0  1
 0  0      0 1562908   1076 11074780    0    0     0   363 5644 6443  7  1 91  0  1
 8  0      0 1576952   1076 11074940    0    0     0     0 7085 7950 10  2 87  0  1
 1  0      0 1559116   1076 11075244    0    0     0     0 7265 6827 17  2 79  0  2
 1  0      0 1572572   1076 11075292    0    0     0   154 6543 7112 11  2 86  0  1
 9  0      0 1569832   1076 11076984    0    0     0   300 7176 7976 10  2 87  0  1
 1  0      0 1579008   1076 11077272    0    0     0     0 6245 5472 17  1 81  0  1
 1  0      0 1571184   1076 11077476    0    0     0   289 6467 7148  8  2 90  0  1
 1  0      0 1567080   1076 11077576    0    0     0     0 7538 8854  9  2 88  0  1
 1  0      0 1550140   1076 11077844    0    0     0    82 6542 6039 14  1 84  0  1
 1  0      0 1547944   1076 11077924    0    0     0     0 6522 6669 15  1 83  0  1
 1  0      0 1545988   1076 11079640    0    0     0   296 6893 8030  9  2 89  0  1
 1  0      0 1545200   1076 11079928    0    0     0   159 5865 4912 18  1 79  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1546748   1076 11080124    0    0     0    63 6807 7966  7  2 90  0  1
 2  0      0 1548152   1076 11080288    0    0     0    77 7309 8850  5  2 92  0  1
 1  0      0 1546708   1076 11080544    0    0     0     0 6143 5209 19  1 79  0  1
 3  0      0 1544204   1076 11080612    0    0     0     0 6176 6492 10  2 87  0  1
 1  0      0 1556972   1076 11082308    0    0     0   294 7346 8024 13  2 84  0  1
 7  0      0 1546212   1076 11082624    0    0     0     0 6261 5760 14  1 83  0  1
 0  0      0 1588880   1076 11082800    0    0     0   242 8115 8899 12  2 85  0  2
 1  0      0 1576032   1076 11082944    0    0     0    37 6512 7731  5  2 92  0  1
 1  0      0 1552956   1076 11083176    0    0     0     0 6847 6179 19  1 79  0  1
 1  0      0 1555112   1076 11083244    0    0     0   150 6666 7169 11  2 87  0  1
 1  0      0 1546188   1076 11084976    0    0     0   298 7413 8325 13  2 84  0  1
 1  0      0 1576516   1076 11085260    0    0     0     0 6218 5722 14  1 83  0  2
 2  0      0 1576448   1076 11085436    0    0     0   201 6681 6783 12  2 85  0  1
 1  0      0 1567260   1076 11085576    0    0     0   125 6430 7503  5  2 92  0  1
 1  0      0 1538904   1076 11085860    0    0     0   142 6532 5829 18  1 80  0  1
 1  0      0 1538704   1076 11085924    0    0     0     0 7222 7775 12  2 85  0  1
 2  0      0 1536892   1076 11087636    0    0     0   294 6988 7502 13  2 82  0  3
 1  0      0 1575352   1076 11087920    0    0     0     0 7049 6824 14  2 81  0  3
 0  0      0 1578740   1076 11088084    0    0     0   189 7265 8018  9  2 88  0  1
 1  0      0 1577768   1076 11088248    0    0     0    72 6836 7625  9  2 88  0  1
 1  0      0 1548764   1076 11088448    0    0     0   117 6162 5864 14  1 83  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1538752   1076 11088560    0    0     0     0 6064 5692 15  1 83  0  1
 1  0      0 1535668   1076 11090252    0    0     0   294 6800 7848  9  2 87  0  2
 1  0      0 1533880   1076 11090536    0    0     0     0 6203 5243 18  1 79  0  2
 0  0      0 1532064   1076 11090720    0    0     0   225 5941 6532  8  1 89  0  1
 1  0      0 1534400   1076 11090868    0    0     0    44 7429 9126  5  2 92  0  1
 1  0      0 1534276   1076 11091116    0    0     0   118 6626 6009 18  1 80  0  1
 1  0      0 1533696   1076 11091228    0    0     0     0 5741 5674 11  2 86  0  1
